Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2004-04-01;EXPORTAÇÃO;426625.2612;76173983
2004-08-01;EXPORTAÇÃO;1658509.767;321934004
2004-12-01;EXPORTAÇÃO;962787.6749;221454284
2004-02-01;EXPORTAÇÃO;1230354.491;200683383
2004-01-01;EXPORTAÇÃO;1457948.641;229737858
2004-07-01;EXPORTAÇÃO;1221364.846;231719816
2004-06-01;EXPORTAÇÃO;1517559.775;295307681
2004-05-01;EXPORTAÇÃO;1321002.169;231603147
2004-03-01;EXPORTAÇÃO;1572330.514;256672821
2004-11-01;EXPORTAÇÃO;810457.8119;192455031
2004-10-01;EXPORTAÇÃO;907741.625;199131186
2004-09-01;EXPORTAÇÃO;308239.5528;70818158
2004-04-01;IMPORTAÇÃO;2737462.495;623242349
2004-08-01;IMPORTAÇÃO;2320349.114;616693956
2004-12-01;IMPORTAÇÃO;2184204.974;649525220
2004-02-01;IMPORTAÇÃO;1429719.145;302317061
2004-01-01;IMPORTAÇÃO;2161977.096;444599401
2004-07-01;IMPORTAÇÃO;2545173.651;615900908
2004-06-01;IMPORTAÇÃO;2491229.817;634790720
2004-05-01;IMPORTAÇÃO;3050293.559;696658122
2004-03-01;IMPORTAÇÃO;2095855.36;448591851
2004-11-01;IMPORTAÇÃO;1849598.9;561849014
2004-10-01;IMPORTAÇÃO;2180677.925;640174859
2004-09-01;IMPORTAÇÃO;1866060.676;509211552
2005-04-01;EXPORTAÇÃO;1149399.499;290641403
2005-08-01;EXPORTAÇÃO;2193930.705;636207175
2005-12-01;EXPORTAÇÃO;1057431.697;299867060
2005-02-01;EXPORTAÇÃO;923937.9848;194290086
2005-01-01;EXPORTAÇÃO;1253124.902;213392000
2005-07-01;EXPORTAÇÃO;3532178.908;850080347
2005-06-01;EXPORTAÇÃO;93868.35082;23922092
2005-05-01;EXPORTAÇÃO;1279571.452;311845917
2005-03-01;EXPORTAÇÃO;571269.8599;117354610
2005-11-01;EXPORTAÇÃO;1563976.875;476863854
2005-10-01;EXPORTAÇÃO;593248.4781;189924472
2005-09-01;EXPORTAÇÃO;1717040.302;560060719
2005-04-01;IMPORTAÇÃO;1253909.496;405181619
2005-08-01;IMPORTAÇÃO;2227633.61;870458829
2005-12-01;IMPORTAÇÃO;2067212.06;826272696
2005-02-01;IMPORTAÇÃO;2354547.038;645668644
2005-01-01;IMPORTAÇÃO;2074738.192;545066012
2005-07-01;IMPORTAÇÃO;1792687.543;628159814
2005-06-01;IMPORTAÇÃO;1282507.706;429885244
2005-05-01;IMPORTAÇÃO;2484859.851;841942889
2005-03-01;IMPORTAÇÃO;1766655.79;547541989
2005-11-01;IMPORTAÇÃO;1850647.632;727727774
2005-10-01;IMPORTAÇÃO;1535076.291;643372052
2005-09-01;IMPORTAÇÃO;1283664.961;537163205
2006-04-01;EXPORTAÇÃO;1315794.929;402139078
2006-08-01;EXPORTAÇÃO;1906646.851;725090370
2006-12-01;EXPORTAÇÃO;2594288.303;745331539
2006-02-01;EXPORTAÇÃO;757099.8553;235088202
2006-01-01;EXPORTAÇÃO;2645724.429;721417096
2006-07-01;EXPORTAÇÃO;2374648.971;869938847
2006-06-01;EXPORTAÇÃO;1236422.443;448002825
2006-05-01;EXPORTAÇÃO;1114750.725;368935921
2006-03-01;EXPORTAÇÃO;1166874.587;360583552
2006-11-01;EXPORTAÇÃO;1887782.945;511483460
2006-10-01;EXPORTAÇÃO;1704740.659;536180576
2006-09-01;EXPORTAÇÃO;2652932.182;970097246
2006-04-01;IMPORTAÇÃO;1713594.453;723442757
2006-08-01;IMPORTAÇÃO;2623888.965;1271029059
2006-12-01;IMPORTAÇÃO;873815.6313;334904856
2006-02-01;IMPORTAÇÃO;1593435.498;611746491
2006-01-01;IMPORTAÇÃO;1159936.392;461806420
2006-07-01;IMPORTAÇÃO;1484157.25;689305175
2006-06-01;IMPORTAÇÃO;1669938.328;783113799
2006-05-01;IMPORTAÇÃO;1988829.264;889655485
2006-03-01;IMPORTAÇÃO;2228251.38;901686256
2006-11-01;IMPORTAÇÃO;2405519.63;1004485651
2006-10-01;IMPORTAÇÃO;1797609.349;771930122
2006-09-01;IMPORTAÇÃO;1369143.4;644900149
2007-04-01;EXPORTAÇÃO;2260141.543;695026639
2007-08-01;EXPORTAÇÃO;2280964.383;874899327
2007-12-01;EXPORTAÇÃO;2722158.359;1346023676
2007-02-01;EXPORTAÇÃO;1841972.34;484405508
2007-01-01;EXPORTAÇÃO;2375267.124;708401020
2007-07-01;EXPORTAÇÃO;1965175.441;702271728
2007-06-01;EXPORTAÇÃO;1474994.756;488465839
2007-05-01;EXPORTAÇÃO;1753458.071;570385642
2007-03-01;EXPORTAÇÃO;1880798.67;542596040
2007-11-01;EXPORTAÇÃO;1633206.874;755651537
2007-10-01;EXPORTAÇÃO;2370797.831;1008655552
2007-09-01;EXPORTAÇÃO;1895253.899;728282955
2007-04-01;IMPORTAÇÃO;1770476.762;741118050
2007-08-01;IMPORTAÇÃO;1737637.4;848269267
2007-12-01;IMPORTAÇÃO;1976647.035;1197234885
2007-02-01;IMPORTAÇÃO;1673133.601;644148803
2007-01-01;IMPORTAÇÃO;2234933.634;914161052
2007-07-01;IMPORTAÇÃO;2694782.249;1279594934
2007-06-01;IMPORTAÇÃO;1626775.979;738921510
2007-05-01;IMPORTAÇÃO;1970137.309;858937900
2007-03-01;IMPORTAÇÃO;2501853.943;953878496
2007-11-01;IMPORTAÇÃO;2227857.395;1307050922
2007-10-01;IMPORTAÇÃO;2811274.779;1438669089
2007-09-01;IMPORTAÇÃO;2154152.981;1052030332
2008-04-01;EXPORTAÇÃO;307365.3516;147273473
2008-08-01;EXPORTAÇÃO;2688963.981;1950324900
2008-12-01;EXPORTAÇÃO;4055184.801;1166799569
2008-02-01;EXPORTAÇÃO;1251104.869;607035185
2008-01-01;EXPORTAÇÃO;1221416.922;615869133
2008-07-01;EXPORTAÇÃO;1977527.791;1405623267
2008-06-01;EXPORTAÇÃO;2584016.868;1799810490
2008-05-01;EXPORTAÇÃO;3354216.258;1939748035
2008-03-01;EXPORTAÇÃO;678752.0304;367863659
2008-11-01;EXPORTAÇÃO;2858233.926;1125021707
2008-10-01;EXPORTAÇÃO;2371801.061;1450355341
2008-09-01;EXPORTAÇÃO;1788926.615;1107032760
2008-04-01;IMPORTAÇÃO;1637137.905;1145705946
2008-08-01;IMPORTAÇÃO;2367298.467;2003484147
2008-12-01;IMPORTAÇÃO;2024250.201;794700155
2008-02-01;IMPORTAÇÃO;1780871.422;1065393959
2008-01-01;IMPORTAÇÃO;1568997.831;966387546
2008-07-01;IMPORTAÇÃO;2317086.852;2056163188
2008-06-01;IMPORTAÇÃO;2692026.841;2156138127
2008-05-01;IMPORTAÇÃO;2467915.353;1786731744
2008-03-01;IMPORTAÇÃO;1812964.245;1137076230
2008-11-01;IMPORTAÇÃO;1201807.653;653372237
2008-10-01;IMPORTAÇÃO;2117620.316;1457961178
2008-09-01;IMPORTAÇÃO;1734152.293;1349440124
2009-04-01;EXPORTAÇÃO;2404857.512;487156593
2009-08-01;EXPORTAÇÃO;3819313.539;1347738894
2009-12-01;EXPORTAÇÃO;2131495.253;943370723
2009-02-01;EXPORTAÇÃO;2596698.818;504198570
2009-01-01;EXPORTAÇÃO;1966594.408;343637965
2009-07-01;EXPORTAÇÃO;3781408.304;1278703323
2009-06-01;EXPORTAÇÃO;2034174.694;557516944
2009-05-01;EXPORTAÇÃO;2606485.979;602785281
2009-03-01;EXPORTAÇÃO;1774363.523;305990351
2009-11-01;EXPORTAÇÃO;2602636.575;1064318139
2009-10-01;EXPORTAÇÃO;3003245.876;1169958994
2009-09-01;EXPORTAÇÃO;1781780.774;765003495
2009-04-01;IMPORTAÇÃO;1771244.138;562068211
2009-08-01;IMPORTAÇÃO;1429010.557;650099374
2009-12-01;IMPORTAÇÃO;1927285.526;991708411
2009-02-01;IMPORTAÇÃO;1917350.646;560935492
