Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2019-08-01;IMPORTAÇÃO;546062.448;228354217
2019-12-01;IMPORTAÇÃO;1163044.303;482245846
2019-02-01;IMPORTAÇÃO;619854.6113;247022286
2019-01-01;IMPORTAÇÃO;816655.6748;379404133
2019-07-01;IMPORTAÇÃO;1431950.921;632130643
2019-06-01;IMPORTAÇÃO;1165653.596;528019891
2019-05-01;IMPORTAÇÃO;1111798.586;494730549
2019-03-01;IMPORTAÇÃO;1256002.351;476876145
2019-11-01;IMPORTAÇÃO;998333.9609;384278635
2019-10-01;IMPORTAÇÃO;472774.0721;197377025
2019-09-01;IMPORTAÇÃO;875899.6646;366526669
2020-04-01;EXPORTAÇÃO;7516539.165;1817132843
2020-08-01;EXPORTAÇÃO;5975566.001;1496515261
2020-12-01;EXPORTAÇÃO;6002803.694;1588726881
2020-02-01;EXPORTAÇÃO;6683196.876;2316023766
2020-01-01;EXPORTAÇÃO;4797621.367;1707992442
2020-07-01;EXPORTAÇÃO;8857395.067;1928276220
2020-06-01;EXPORTAÇÃO;6191054.238;1156303100
2020-05-01;EXPORTAÇÃO;9382939.801;1386002196
2020-03-01;EXPORTAÇÃO;7252177.643;2023525034
2020-11-01;EXPORTAÇÃO;5993049.75;1459084689
2020-10-01;EXPORTAÇÃO;5193908.548;1262950878
2020-09-01;EXPORTAÇÃO;5710505.002;1471324597
2020-04-01;IMPORTAÇÃO;851060.2871;340394731
2020-08-01;IMPORTAÇÃO;333562.5576;86395749
2020-12-01;IMPORTAÇÃO;535096.4306;145230711
2020-02-01;IMPORTAÇÃO;810705.6;333210946
2020-01-01;IMPORTAÇÃO;508576.8341;207990370
2020-07-01;IMPORTAÇÃO;654205.6424;259549171
2020-06-01;IMPORTAÇÃO;1649147.353;485468302
2020-05-01;IMPORTAÇÃO;293178.1247;77926222
2020-03-01;IMPORTAÇÃO;781466.1165;301306165
2020-11-01;IMPORTAÇÃO;737467.1894;190356078
2020-10-01;IMPORTAÇÃO;353987.8953;98413669
2020-09-01;IMPORTAÇÃO;302422.1329;87489455
2021-04-01;EXPORTAÇÃO;7355438.584;2826701536
2021-08-01;EXPORTAÇÃO;7707015.75;3204026884
2021-12-01;EXPORTAÇÃO;6718050.799;3006933933
2021-02-01;EXPORTAÇÃO;5618996.133;1877907033
2021-01-01;EXPORTAÇÃO;5527369.74;1591315839
2021-07-01;EXPORTAÇÃO;4782734.682;2058804985
2021-06-01;EXPORTAÇÃO;9243048.068;3743887034
2021-05-01;EXPORTAÇÃO;5764589.241;2230682322
2021-03-01;EXPORTAÇÃO;7301429.29;2661483504
2021-11-01;EXPORTAÇÃO;4117719.632;1934787403
2021-10-01;EXPORTAÇÃO;6647774.506;2985889023
2021-09-01;EXPORTAÇÃO;5994072.501;2486562157
2021-04-01;IMPORTAÇÃO;1123810.065;424160511
2021-08-01;IMPORTAÇÃO;526463.5612;277679781
2021-12-01;IMPORTAÇÃO;597140.5894;301356337
2021-02-01;IMPORTAÇÃO;700485.7247;217992635
2021-01-01;IMPORTAÇÃO;225466.6812;96760569
2021-07-01;IMPORTAÇÃO;1434531.355;618138825
2021-06-01;IMPORTAÇÃO;814959.5706;318442506
2021-05-01;IMPORTAÇÃO;1293626.945;494418836
2021-03-01;IMPORTAÇÃO;641554.8859;247178152
2021-11-01;IMPORTAÇÃO;757670.1035;367436479
2021-10-01;IMPORTAÇÃO;614189.3518;276011205
2021-09-01;IMPORTAÇÃO;740044.9718;355679818
2022-04-01;EXPORTAÇÃO;5053338.635;3021133133
2022-08-01;EXPORTAÇÃO;6626203.272;3928197090
2022-12-01;EXPORTAÇÃO;9483963.892;4507383475
2022-02-01;EXPORTAÇÃO;7356855.233;3938875347
2022-01-01;EXPORTAÇÃO;4764135.488;2151151388
2022-07-01;EXPORTAÇÃO;5416851.62;3465105228
2022-06-01;EXPORTAÇÃO;6446306.202;3971869769
2022-05-01;EXPORTAÇÃO;5037222.707;3097566778
2022-03-01;EXPORTAÇÃO;6063586.297;3479507047
2022-11-01;EXPORTAÇÃO;9329301.166;4569070822
2022-10-01;EXPORTAÇÃO;6008856.739;2959747613
2022-09-01;EXPORTAÇÃO;6504997.79;3464156399
2022-04-01;IMPORTAÇÃO;823383.9341;611789336
2022-08-01;IMPORTAÇÃO;1134575.926;795493494
2022-12-01;IMPORTAÇÃO;2049666.419;1191903365
2022-02-01;IMPORTAÇÃO;920428.98;482247666
2022-01-01;IMPORTAÇÃO;1031858.447;536856773
2022-07-01;IMPORTAÇÃO;1095471.149;771529207
2022-06-01;IMPORTAÇÃO;1329164.024;899636765
2022-05-01;IMPORTAÇÃO;1039216.208;732948917
2022-03-01;IMPORTAÇÃO;1372892.289;762338310
2022-11-01;IMPORTAÇÃO;1663696.404;970883023
2022-10-01;IMPORTAÇÃO;1850988.567;1115473935
2022-09-01;IMPORTAÇÃO;1630029.82;1043765015
2023-04-01;EXPORTAÇÃO;5407328.877;2393081486
2023-08-01;EXPORTAÇÃO;8657614.333;3885415318
2023-12-01;EXPORTAÇÃO;7596378.385;3549804815
2023-02-01;EXPORTAÇÃO;2702389.576;1194413455
2023-01-01;EXPORTAÇÃO;7051840.653;3129360527
2023-07-01;EXPORTAÇÃO;8436470.292;3642496319
2023-06-01;EXPORTAÇÃO;6493896.503;2803459014
2023-05-01;EXPORTAÇÃO;8084956.809;3519997846
2023-03-01;EXPORTAÇÃO;12504190.45;5520902205
2023-11-01;EXPORTAÇÃO;8746421.613;4442141375
2023-10-01;EXPORTAÇÃO;8095972.003;4225096578
2023-09-01;EXPORTAÇÃO;8733408.488;4304909734
2023-04-01;IMPORTAÇÃO;1849561.615;965078205
2023-08-01;IMPORTAÇÃO;1416904.275;754668325
2023-12-01;IMPORTAÇÃO;758600.94;419120331
2023-02-01;IMPORTAÇÃO;1416130.438;744307687
2023-01-01;IMPORTAÇÃO;1785485.318;1011482402
2023-07-01;IMPORTAÇÃO;1630168.939;814150049
2023-06-01;IMPORTAÇÃO;986864.5929;481607399
2023-05-01;IMPORTAÇÃO;1423961.213;729014055
2023-03-01;IMPORTAÇÃO;1349900.714;695254886
2023-11-01;IMPORTAÇÃO;1091308.684;625982841
2023-10-01;IMPORTAÇÃO;1921137.554;1135465889
2023-09-01;IMPORTAÇÃO;1213850.138;682324083
2024-02-01;EXPORTAÇÃO;6250360.856;2712100038
2024-01-01;EXPORTAÇÃO;10757399.92;4877245796
2024-03-01;EXPORTAÇÃO;9002842.125;3562305210
2024-02-01;IMPORTAÇÃO;1241945.633;630074251
2024-01-01;IMPORTAÇÃO;1187264.631;613925609
2024-03-01;IMPORTAÇÃO;1477222.539;794040152
